#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17.",Flexible bronchofiberscope,Keio J Med,1968,17,,,,,Ikeda S; Yanai N; Ishikawa S
271,"Previgliano IJ, Ripoll PI, Chiappero G. Optimizing cerebral perfusion pressure during fiberoptic bronchoscopy in severe head injury: effect of hyperventilation. Acta Neurochir Suppl. 2002;81:271.",Optimizing cerebral perfusion pressure during fiberoptic bronchoscopy in severe head injury: effect of hyperventilation,Acta Neurochir Suppl,2002,81,,271,,,Previgliano IJ; Ripoll PI; Chiappero G
272,"Trouillet JL, Guiguet M, Gibert C. Fiberoptic bronchoscopy in ventilated patients. Evaluation of cardiopulmonary risk under midazolam sedation. Chest. 1990;97:272.",Fiberoptic bronchoscopy in ventilated patients. Evaluation of cardiopulmonary risk under midazolam sedation,Chest,1990,97,,272,,,Trouillet JL; Guiguet M; Gibert C
273,"Macintyre NR, Ramage JE, Follett JV. Jet ventilation in support of fiberoptic bronchoscopy. Crit Care Med. 1987;15:273.",Jet ventilation in support of fiberoptic bronchoscopy,Crit Care Med,1987,15,,273,,,Macintyre NR; Ramage JE; Follett JV
274,"Ramanathan S, Sinha K, Arismendy J. Humidification and airway pressures during high-frequency jet ventilation delivered through the suction-biopsy channel of a flexible bronchofiberscope. Crit Care Med. 1984;12.",Humidification and airway pressures during high-frequency jet ventilation delivered through the suction-biopsy channel of a flexible bronchofiberscope,Crit Care Med,1984,12,,,,,Ramanathan S; Sinha K; Arismendy J
275,"Rand D, IA. Thorax. Thorax. 2013;68:274. doi:10.1136/thoraxjnl-2013-203618.",Thorax,Thorax,2013,68,,274,10.1136/thoraxjnl-2013-203618,,Rand D; IA
276,"Flatau E, Lewinsohn G, Konichezky S. Mechanical ventilation in fiberoptic-bronchoscopy: comparison between high frequency positive pressure ventilation and normal frequency positive pressure ventilation. Crit Care Med. 1982;10:275.",Mechanical ventilation in fiberoptic-bronchoscopy: comparison between high frequency positive pressure ventilation and normal frequency positive pressure ventilation,Crit Care Med,1982,10,,275,,,Flatau E; Lewinsohn G; Konichezky S
277,"Antonelli M, Conti G, Riccioni L. Noninvasive positive-pressure ventilation via face mask during bronchoscopy with BAL in high-risk hypoxemic patients. Chest. 1996;110:276.",Noninvasive positive-pressure ventilation via face mask during bronchoscopy with BAL in high-risk hypoxemic patients,Chest,1996,110,,276,,,Antonelli M; Conti G; Riccioni L
278,"Chiner E, Jn S, Llombart M. Fiberoptic bronchoscopy during nasal non-invasive ventilation in acute respiratory failure. Respiration. 2010;80:277.",Fiberoptic bronchoscopy during nasal non-invasive ventilation in acute respiratory failure,Respiration,2010,80,,277,,,Chiner E; Jn S; Llombart M
279,"Baumann HJ, Klose H, Simon M. Fiber optic bronchoscopy in patients with acute hypoxemic respiratory failure requiring noninvasive ventilation-a feasibility study. Crit Care. 2011;15:278.",Fiber optic bronchoscopy in patients with acute hypoxemic respiratory failure requiring noninvasive ventilation-a feasibility study,Crit Care,2011,15,,278,,,Baumann HJ; Klose H; Simon M
280,"Bajwa MK, Henein S, Kamholz SL. Fiberoptic bronchoscopy in the presence of space-occupying intracranial lesions. Chest. 1993;104:279.",Fiberoptic bronchoscopy in the presence of space-occupying intracranial lesions,Chest,1993,104,,279,,,Bajwa MK; Henein S; Kamholz SL
281,"Kerwin AJ, Croce MA, Timmons SD. Effects of fiberoptic bronchoscopy on intracranial pressure in patients with brain injury: a prospective clinical study. J Trauma. 2000;48:280.",Effects of fiberoptic bronchoscopy on intracranial pressure in patients with brain injury: a prospective clinical study,J Trauma,2000,48,,280,,,Kerwin AJ; Croce MA; Timmons SD
282,"Peerless JR, Snow N, Likavec MJ. 5. 281 Cleaning and disinfection of equipment for gastrointestinal endoscopy. Report of a Working Party of the British Society of Gastroenterology Endoscopy Committee. Chest. 1995;108:282.",5. 281 Cleaning and disinfection of equipment for gastrointestinal endoscopy. Report of a Working Party of the British Society of Gastroenterology Endoscopy Committee,Chest,1995,108,,282,,,Peerless JR; Snow N; Likavec MJ
283,"Beilenhoff U, Neumann CS, Rey JF. The ESGE Guidelines Committee. ESGE-ESGENA guideline: cleaning and disinfection in gastrointestinal endoscopy. Update 2008. Endoscopy. 2008;40:284.",The ESGE Guidelines Committee. ESGE-ESGENA guideline: cleaning and disinfection in gastrointestinal endoscopy. Update 2008,Endoscopy,2008,40,,284,,,Beilenhoff U; Neumann CS; Rey JF
284, on decontamination of endoscopes. on decontamination of endoscopes. 2002;None:286.,on decontamination of endoscopes,on decontamination of endoscopes,2002,,,286,,,
285, Code of practice for the prevention and control of healthcare associated infections. Code of practice for the prevention and control of healthcare associated infections. 2006;None:287.,Code of practice for the prevention and control of healthcare associated infections,Code of practice for the prevention and control of healthcare associated infections,2006,,,287,,,
286,NK. An evaluation of disinfecting agents used in endoscopy suites. An evaluation of chemical disinfecting agents used in endoscopy suites in the NHS. 2001;None:290.,An evaluation of disinfecting agents used in endoscopy suites,An evaluation of chemical disinfecting agents used in endoscopy suites in the NHS,2001,,,290,,,NK
287,"Poi PJ, Chuah SY, Srinivas P. Common fears of patients undergoing bronchoscopy. Eur Respir J. 1998;11:291.",Common fears of patients undergoing bronchoscopy,Eur Respir J,1998,11,,291,,,Poi PJ; Chuah SY; Srinivas P
288,"Diette GB, White P, Jr, Terry P. Quality assessment through patient self-report of symptoms prefiberoptic and postfiberoptic bronchoscopy. Chest. 1998;114:292.",Quality assessment through patient self-report of symptoms prefiberoptic and postfiberoptic bronchoscopy,Chest,1998,114,,292,,,Diette GB; White P; Jr; Terry P
289,"Lechtzin N, Rubin HR, White P Jr. Patient satisfaction with bronchoscopy. Am J Respir Crit Care Med. 2002;166:293.",Patient satisfaction with bronchoscopy,Am J Respir Crit Care Med,2002,166,,293,,,Lechtzin N; Rubin HR; White P Jr
290,"Hirose T, Okuda K, Ishida H. Patient satisfaction with sedation for flexible bronchoscopy. Respirology. 2008;13:294.",Patient satisfaction with sedation for flexible bronchoscopy,Respirology,2008,13,,294,,,Hirose T; Okuda K; Ishida H
291,"Hadzri H, Azarisman S, Fauzi A. Can a bronchoscopist reliably assess a patient's experience of bronchoscopy?. JRSM Short Rep. 2010;1:295.",Can a bronchoscopist reliably assess a patient's experience of bronchoscopy?,JRSM Short Rep,2010,1,,295,,,Hadzri H; Azarisman S; Fauzi A
292,"Bernasconi M, Chhajed PN, Muller P. Patients' satisfaction with flexible bronchoscopy in a hospital-based community practice. Respiration. 2009;78:296.",Patients' satisfaction with flexible bronchoscopy in a hospital-based community practice,Respiration,2009,78,,296,,,Bernasconi M; Chhajed PN; Muller P
293,"Mitsumune T, Senoh E, Adachi M. Prediction of patient discomfort during fibreoptic bronchoscopy. Respirology. 2005;10:297.",Prediction of patient discomfort during fibreoptic bronchoscopy,Respirology,2005,10,,297,,,Mitsumune T; Senoh E; Adachi M
294,"Diette GB, Lechtzin N, Haponik E. Distraction therapy with nature sights and sounds reduces pain during flexible bronchoscopy: a complementary approach to routine analgesia. Chest. 2003;123:298.",Distraction therapy with nature sights and sounds reduces pain during flexible bronchoscopy: a complementary approach to routine analgesia,Chest,2003,123,,298,,,Diette GB; Lechtzin N; Haponik E
295,"Dubois JM, Bartter T, Pratter MR. Music improves patient comfort level during outpatient bronchoscopy. Chest. 1995;108:299.",Music improves patient comfort level during outpatient bronchoscopy,Chest,1995,108,,299,,,Dubois JM; Bartter T; Pratter MR
296,"Colt HG, Powers A, Shanks TG. Effect of music on state anxiety scores in patients undergoing fiberoptic bronchoscopy. Chest. 1999;116:300.",Effect of music on state anxiety scores in patients undergoing fiberoptic bronchoscopy,Chest,1999,116,,300,,,Colt HG; Powers A; Shanks TG
297,"Brady M, Kinn S, Stuart P. Preoperative fasting for adults to prevent perioperative complications. Cochrane Database Syst Rev. 2003;4.",Preoperative fasting for adults to prevent perioperative complications,Cochrane Database Syst Rev,2003,,4,,,,Brady M; Kinn S; Stuart P
298,"Molina JA, Lobo CA, Goh HK. Review of studies and guidelines on fasting and procedural sedation at the emergency department. Int J Evid Based Healthc. 2008;8:302.",Review of studies and guidelines on fasting and procedural sedation at the emergency department,Int J Evid Based Healthc,2008,8,,302,,,Molina JA; Lobo CA; Goh HK
299,"Rand D, IA. Thorax. Thorax. 2013;68. doi:10.1136/thoraxjnl-2013-203618i33.",Thorax,Thorax,2013,68,,,10.1136/thoraxjnl-2013-203618i33,,Rand D; IA
300, Ensure adequate oxygenation and IV access for fluid resuscitation. Ensure adequate oxygenation and IV access for fluid resuscitation. None;None.,Ensure adequate oxygenation and IV access for fluid resuscitation,Ensure adequate oxygenation and IV access for fluid resuscitation,,,,,,,
301, free blood to preserve airway patency. Retract the bronchoscope proximally to maintain vision. None;None.,free blood to preserve airway patency,Retract the bronchoscope proximally to maintain vision,,,,,,,
302, °C saline. Saline has the advantage that it may be administered repeatedly. Agents include. None;5(10).,°C saline. Saline has the advantage that it may be administered repeatedly,Agents include,,5,10,,,,
303," If bleeding continues, the bronchoscope should be wedged into the bleeding segmental bronchus, if possible. If bleeding continues, the bronchoscope should be wedged into the bleeding segmental bronchus, if possible. None;None.","If bleeding continues, the bronchoscope should be wedged into the bleeding segmental bronchus, if possible","If bleeding continues, the bronchoscope should be wedged into the bleeding segmental bronchus, if possible",,,,,,,
304," Check platelet count, PT and PTT, and recheck drug history. Check platelet count, PT and PTT, and recheck drug history. None;None.","Check platelet count, PT and PTT, and recheck drug history","Check platelet count, PT and PTT, and recheck drug history",,,,,,,
305," TBLB : Transbronchial lung biopsy, PT: Prothrombin time, PTT: partial thromboplastin time) i36 Du Rand IA, et al. Thorax. 2013;68. doi:10.1136/thoraxjnl-2013-203618.","TBLB : Transbronchial lung biopsy, PT: Prothrombin time, PTT: partial thromboplastin time) i36 Du Rand IA, et al",Thorax,2013,68,,,10.1136/thoraxjnl-2013-203618,,
