#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"F, Killian G. father of bronchoscopy. Arch Otolaryngol. 1965;82.",father of bronchoscopy,Arch Otolaryngol,1965,82,,,,,F; Killian G
221,"Herth FJ, Valipour A, Shah PL, Eberhardt R, Grah C, Egan J. Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, open-label, randomised controlled STEP-UP trial. Lancet Respir Med. 2016;4:231.","Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, open-label, randomised controlled STEP-UP trial",Lancet Respir Med,2016,4,,231,,,Herth FJ; Valipour A; Shah PL; Eberhardt R; Grah C; Egan J
222,"Come CE, Kramer MR, Dransfield MT, Abu-Hijleh M, Berkowitz D, Bezzi M. A randomised trial of lung sealant versus medical therapy for advanced emphysema. Eur Respir J. 2015;46:232.",A randomised trial of lung sealant versus medical therapy for advanced emphysema,Eur Respir J,2015,46,,232,,,Come CE; Kramer MR; Dransfield MT; Abu-Hijleh M; Berkowitz D; Bezzi M
223,"Vogelmeier CF, Criner GJ, Martinez FJ, Anzueto A, Barnes PJ, Bourbeau J. Global strategy for the diagnosis, management, and prevention of chronic obstructive lung disease 2017 report: GOLD executive summary. Am J Respir Crit Care Med. 2017;195:233.","Global strategy for the diagnosis, management, and prevention of chronic obstructive lung disease 2017 report: GOLD executive summary",Am J Respir Crit Care Med,2017,195,,233,,,Vogelmeier CF; Criner GJ; Martinez FJ; Anzueto A; Barnes PJ; Bourbeau J
224,"Cuthbert AW, Murthy M, Darlington AP, Ueki I, German VF, Nadel JA. Micropipette measurement of airway submucosal gland secretion. Autonomic effects. Am Rev Respir Dis. 1980;3:235.",Micropipette measurement of airway submucosal gland secretion. Autonomic effects,Am Rev Respir Dis,1980,3,,235,,,Cuthbert AW; Murthy M; Darlington AP; Ueki I; German VF; Nadel JA
225,"Schultz HD, Roberts AM, Bratcher C, Coleridge HM, Coleridge JC, Davis B. Pulmonary C-fibers reflexly increase secretion by tracheal submucosal glands in dogs. J Appl Physiol. 1985;58:236.",Pulmonary C-fibers reflexly increase secretion by tracheal submucosal glands in dogs,J Appl Physiol,1985,58,,236,,,Schultz HD; Roberts AM; Bratcher C; Coleridge HM; Coleridge JC; Davis B
226,"Yu J, Schultz HD, Goodman J, Coleridge JC, Coleridge HM, Davis B. Pulmonary rapidly adapting receptors reflexly increase airway secretion in dogs. J Appl Physiol. 1985;67:237.",Pulmonary rapidly adapting receptors reflexly increase airway secretion in dogs,J Appl Physiol,1985,67,,237,,,Yu J; Schultz HD; Goodman J; Coleridge JC; Coleridge HM; Davis B
227,"Buckner CK, Songsiridej V, Dick EC, Busse WW. In vivo and in vitro studies on the use of the Guinea pig as a model for virus-provoked airway hyperreactivity. Am Rev Respir Dis. 1985;132:238.",In vivo and in vitro studies on the use of the Guinea pig as a model for virus-provoked airway hyperreactivity,Am Rev Respir Dis,1985,132,,238,,,Buckner CK; Songsiridej V; Dick EC; Busse WW
228,"Mcalexander MA, Gavett SH, Kollarik M, Undem BJ. Vagotomy reverses established allergen-induced airway hyperreactivity to methacholine in the mouse. Respir Physiol Neurobiol. 2015;212(214):239.",Vagotomy reverses established allergen-induced airway hyperreactivity to methacholine in the mouse,Respir Physiol Neurobiol,2015,212,214,239,,,Mcalexander MA; Gavett SH; Kollarik M; Undem BJ
229,"Hummel JP, Mayse ML, Dimmer S, Johnson PJ. Physiologic and histopathologic effects of targeted lung denervation in an animal model. J Appl Physiol. 1985;126:240.",Physiologic and histopathologic effects of targeted lung denervation in an animal model,J Appl Physiol,1985,126,,240,,,Hummel JP; Mayse ML; Dimmer S; Johnson PJ
230,"Slebos DJ, Klooster K, Koegelenberg CF, Styen TJ, Valipour D, A. Targeted lung denervation for moderate to severe COPD: a pilot study. Thorax. 2015;70:241.",Targeted lung denervation for moderate to severe COPD: a pilot study,Thorax,2015,70,,241,,,Slebos DJ; Klooster K; Koegelenberg CF; Styen TJ; Valipour D; A
231,"Koegelenberg CF, Slebos TJ, Klooster DJ, Mayse K, Gosens M, R. Antimuscarinic bronchodilator response retained after bronchoscopic vagal denervation in chronic obstructive pulmonary disease patients. Respiration. 2016;92:242.",Antimuscarinic bronchodilator response retained after bronchoscopic vagal denervation in chronic obstructive pulmonary disease patients,Respiration,2016,92,,242,,,Koegelenberg CF; Slebos TJ; Klooster DJ; Mayse K; Gosens M; R
232,"Valipour A, Asadi S, Pison C, Jondot M, Kessler R, Benneddif K. Long-term safety of bilateral targeted lung denervation in patients with COPD. Int J Chron Obstruct Pulmon Dis. 2018;13:243.",Long-term safety of bilateral targeted lung denervation in patients with COPD,Int J Chron Obstruct Pulmon Dis,2018,13,,243,,,Valipour A; Asadi S; Pison C; Jondot M; Kessler R; Benneddif K
233,"Valipour A, Shah PL, Pison C, Ninane V, Janssens W, Perez T. On Behalf of the AIRFLOW-1 Study Group. Safety and dose study of targeted lung denervation in moderate/severe COPD patients. Respiration. 2019;98:244.",On Behalf of the AIRFLOW-1 Study Group. Safety and dose study of targeted lung denervation in moderate/severe COPD patients,Respiration,2019,98,,244,,,Valipour A; Shah PL; Pison C; Ninane V; Janssens W; Perez T
234,"Mejza F, Gnatiuc L, Buist AS, Vollmer WM, Lamprecht B, Obaseki DO. Prevalence and burden of chronic bronchitis symptoms: results from the BOLD study. Eur Respir J. 2017;50.",Prevalence and burden of chronic bronchitis symptoms: results from the BOLD study,Eur Respir J,2017,50,,,,,Mejza F; Gnatiuc L; Buist AS; Vollmer WM; Lamprecht B; Obaseki DO
235,"Kim V, Criner GJ. Chronic bronchitis and chronic obstructive pulmonary disease. Am J Respir Crit Care Med. 2013;187:246.",Chronic bronchitis and chronic obstructive pulmonary disease,Am J Respir Crit Care Med,2013,187,,246,,,Kim V; Criner GJ
236,"Krimsky WS, Broussard JN, Sarkar SA, Harley DP. Bronchoscopic spray cryotherapy: assessment of safety and depth of airway injury. J Thorac Cardiovasc Surg. 2010;139:247.",Bronchoscopic spray cryotherapy: assessment of safety and depth of airway injury,J Thorac Cardiovasc Surg,2010,139,,247,,,Krimsky WS; Broussard JN; Sarkar SA; Harley DP
237,"Slebos DJ, Breen D, Coad J, Klooster K, Hartman J, Browning R. Safety and histological effect of liquid nitrogen metered spray cryotherapy in the lung. Am J Respir Crit Care Med. 2017;196:248.",Safety and histological effect of liquid nitrogen metered spray cryotherapy in the lung,Am J Respir Crit Care Med,2017,196,,248,,,Slebos DJ; Breen D; Coad J; Klooster K; Hartman J; Browning R
238,"Flaherty KR, King TE, Jr et al.. Idiopathic interstitial pneumonia: what is the effect of a multidisciplinary approach to diagnosis?. Am J Respir Crit Care Med. 2004;170:249.",Idiopathic interstitial pneumonia: what is the effect of a multidisciplinary approach to diagnosis?,Am J Respir Crit Care Med,2004,170,,249,,,Flaherty KR; King TE; Jr; Raghu G; Lynch JP; Iii; Colby TV; Travis WD
239,"Lynch DA, Sverzellati N, Travis WD, Brown KK, Colby TV, Galvin JR. Diagnostic criteria for idiopathic pulmonary fibrosis: a Fleischner Society white paper. Lancet Respir Med. 2018;6:250.",Diagnostic criteria for idiopathic pulmonary fibrosis: a Fleischner Society white paper,Lancet Respir Med,2018,6,,250,,,Lynch DA; Sverzellati N; Travis WD; Brown KK; Colby TV; Galvin JR
240,"Raghu G, Remy-Jardin M, Myers JL, Richeldi L, Ryerson CJ, Lederer DJ. American Thoracic Society, European Respiratory Society, Japanese Respiratory Society, and Latin American Thoracic Society. Diagnosis of idiopathic pulmonary fibrosis: an official ATS/ERS/JRS/ALAT clinical practice guideline. Am J Respir Crit Care Med. 2018;198:251.","American Thoracic Society, European Respiratory Society, Japanese Respiratory Society, and Latin American Thoracic Society. Diagnosis of idiopathic pulmonary fibrosis: an official ATS/ERS/JRS/ALAT clinical practice guideline",Am J Respir Crit Care Med,2018,198,,251,,,Raghu G; Remy-Jardin M; Myers JL; Richeldi L; Ryerson CJ; Lederer DJ
241,"Raghu G, Rochwerg B, Zhang Y, Garcia CA, Azuma A, Behr J. American Thoracic Society; European Respiratory society; Japanese Respiratory Society; Latin American Thoracic Association. An official ATS/ERS/JRS/ALAT clinical practice guideline: treatment of idiopathic pulmonary fibrosis: an update of the 2011 clinical practice guideline. Am J Respir Crit Care Med. 2015;192:253.",American Thoracic Society; European Respiratory society; Japanese Respiratory Society; Latin American Thoracic Association. An official ATS/ERS/JRS/ALAT clinical practice guideline: treatment of idiopathic pulmonary fibrosis: an update of the 2011 clinical practice guideline,Am J Respir Crit Care Med,2015,192,,253,,,Raghu G; Rochwerg B; Zhang Y; Garcia CA; Azuma A; Behr J
242,"Berbescu EA, Katzenstein AL, Snow JL, Zisman DA. Transbronchial biopsy in usual interstitial pneumonia. Chest. 2006;129:254.",Transbronchial biopsy in usual interstitial pneumonia,Chest,2006,129,,254,,,Berbescu EA; Katzenstein AL; Snow JL; Zisman DA
243,"Sheth JS, Belperio JA, Fishbein MC, Kazerooni EA, Lagstein A, Murray S. Utility of transbronchial vs surgical lung biopsy in the diagnosis of suspected fibrotic interstitial lung disease. Chest. 2017;151:255.",Utility of transbronchial vs surgical lung biopsy in the diagnosis of suspected fibrotic interstitial lung disease,Chest,2017,151,,255,,,Sheth JS; Belperio JA; Fishbein MC; Kazerooni EA; Lagstein A; Murray S
244,"Tomassetti S, Cavazza A, Colby TV, Ryu JH, Nanni O, Scarpi E. Transbronchial biopsy is useful in predicting UIP pattern. Respir Res. 2012;13:256.",Transbronchial biopsy is useful in predicting UIP pattern,Respir Res,2012,13,,256,,,Tomassetti S; Cavazza A; Colby TV; Ryu JH; Nanni O; Scarpi E
245,"Hetzel J, Maldonado F, Ravaglia C, Wells AU, Colby TV, Tomassetti S. Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the cryobiopsy working group on safety and utility and a call for standardization of the procedure. Respiration. 2018;95:257.",Transbronchial cryobiopsies for the diagnosis of diffuse parenchymal lung diseases: expert statement from the cryobiopsy working group on safety and utility and a call for standardization of the procedure,Respiration,2018,95,,257,,,Hetzel J; Maldonado F; Ravaglia C; Wells AU; Colby TV; Tomassetti S
246,"Johannson KA, Marcoux VS, Ronksley PE, Ryerson CJ. Diagnostic yield and complications of transbronchial lung cryobiopsy for interstitial lung disease: a systematic review and metaanalysis. Ann Am Thorac Soc. 2016;13:258.",Diagnostic yield and complications of transbronchial lung cryobiopsy for interstitial lung disease: a systematic review and metaanalysis,Ann Am Thorac Soc,2016,13,,258,,,Johannson KA; Marcoux VS; Ronksley PE; Ryerson CJ
247,"Patel NM, Borczuk AC, Lederer DJ. Cryobiopsy in the diagnosis of interstitial lung disease: a step forward or back?. Am J Respir Crit Care Med. 2016;193:259.",Cryobiopsy in the diagnosis of interstitial lung disease: a step forward or back?,Am J Respir Crit Care Med,2016,193,,259,,,Patel NM; Borczuk AC; Lederer DJ
248,"Tomassetti S, Wells AU, Costabel U, Cavazza A, Colby TV, Rossi G. Bronchoscopic lung cryobiopsy increases diagnostic confidence in the multidisciplinary diagnosis of idiopathic pulmonary fibrosis. Am J Respir Crit Care Med. 2016;193:260.",Bronchoscopic lung cryobiopsy increases diagnostic confidence in the multidisciplinary diagnosis of idiopathic pulmonary fibrosis,Am J Respir Crit Care Med,2016,193,,260,,,Tomassetti S; Wells AU; Costabel U; Cavazza A; Colby TV; Rossi G
249,"Rodriguez-Paz JM, Kennedy M, Salas E, Wu AW, Sexton JB, Hunt EA. Beyond ""see one, do one, teach one"": toward a different training paradigm. Postgrad Med J. 2009;85:261.","Beyond ""see one, do one, teach one"": toward a different training paradigm",Postgrad Med J,2009,85,,261,,,Rodriguez-Paz JM; Kennedy M; Salas E; Wu AW; Sexton JB; Hunt EA
250,"Deshwal H, Avasarala SK, Ghosh S, Mehta AC. Forbearance with bronchoscopy: a review of gratuitous indications. Chest. 2019;155:262.",Forbearance with bronchoscopy: a review of gratuitous indications,Chest,2019,155,,262,,,Deshwal H; Avasarala SK; Ghosh S; Mehta AC
251,"Kennedy CC, Maldonado F, Cook DA. Simulation-based bronchoscopy training: systematic review and meta-analysis. Chest. 2013;144:263.",Simulation-based bronchoscopy training: systematic review and meta-analysis,Chest,2013,144,,263,,,Kennedy CC; Maldonado F; Cook DA
252,"Mcsparron JI, Michaud GC, Gordan PL, Channick CL, Wahidi MM, Yarmus LB. Skills-based Working Group of the American Thoracic Society Education Committee. Simulation for skills-based education in pulmonary and critical care medicine. Ann Am Thorac Soc. 2015;12:264.",Skills-based Working Group of the American Thoracic Society Education Committee. Simulation for skills-based education in pulmonary and critical care medicine,Ann Am Thorac Soc,2015,12,,264,,,Mcsparron JI; Michaud GC; Gordan PL; Channick CL; Wahidi MM; Yarmus LB
253,"Wahidi MM, Silvestri GA, Coakley RD, Ferguson JS, Shepherd RW, Moses L. A prospective multicenter study of competency metrics and educational interventions in the learning of bronchoscopy among new pulmonary fellows. Chest. 2010;137:265.",A prospective multicenter study of competency metrics and educational interventions in the learning of bronchoscopy among new pulmonary fellows,Chest,2010,137,,265,,,Wahidi MM; Silvestri GA; Coakley RD; Ferguson JS; Shepherd RW; Moses L
254,"Ernst A, Silvestri GA, Johnstone D, College A, Physicians C. Interventional pulmonary procedures: guidelines from the American College of Chest Physicians. Chest. 2003;123:266.",Interventional pulmonary procedures: guidelines from the American College of Chest Physicians,Chest,2003,123,,266,,,Ernst A; Silvestri GA; Johnstone D; College A; Physicians C
255,"Ernst A, Wahidi MM, Read CA, Buckley JD, Addrizzo-Harris DJ, Shah PL. Adult bronchoscopy training: current state and suggestions for the future: CHEST expert panel report. Chest. 2015;148:267.",Adult bronchoscopy training: current state and suggestions for the future: CHEST expert panel report,Chest,2015,148,,267,,,Ernst A; Wahidi MM; Read CA; Buckley JD; Addrizzo-Harris DJ; Shah PL
256,"Hu Y, Cheng Y, Zhang H, Li A, Li S, Wang G. A new-designed lungbending device for bronchoscopic lung volume reduction of severe emphysema: a feasibility study in pigs. Respiration. 2019;97:268.",A new-designed lungbending device for bronchoscopic lung volume reduction of severe emphysema: a feasibility study in pigs,Respiration,2019,97,,268,,,Hu Y; Cheng Y; Zhang H; Li A; Li S; Wang G
257,"Casal RF, Sarkiss M, Jones AK, Stewart J, Tam A, Grosu HB. Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study. J Thorac Dis. 2018;10:269.",Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study,J Thorac Dis,2018,10,,269,,,Casal RF; Sarkiss M; Jones AK; Stewart J; Tam A; Grosu HB
258,"Ost DE, Ernst A, Lei X, Kovitz KL, Benzaquen S, Diaz-Mendoza J. AQuIRE Bronchoscopy Registry. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions: results of the AQuIRE registry. Am J Respir Crit Care Med. 1996;193.",AQuIRE Bronchoscopy Registry. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions: results of the AQuIRE registry,Am J Respir Crit Care Med,1996,193,,,,,Ost DE; Ernst A; Lei X; Kovitz KL; Benzaquen S; Diaz-Mendoza J
